Continue to the partially-completed dock.	部分的に完成したドックに進みます。
Metyunt gives you a quizzical look. "Exotic salt."	Metyuntはあなたに奇妙な外観を与えます。「エキゾチックな塩」。
The medical bomb restores the Augmented to full fitness, and they quickly calm down. "In fight. Won, barely. Have - we found this."	医療爆弾は、フルフィットネスまで増強されたものを回復し、すぐに落ち着きます。「戦いで。かろうじて勝ちました。持っています - 私たちはこれを見つけました。」
Your drone manages to pry open the doors to the cache, and finds a supply of missiles and fuel within! It's not a ton, but it's enough to bring back everything to the ship.	ドローンはキャッシュへのドアをこじ開けることができ、ミサイルと燃料の供給を見つけます！それはトンではありませんが、船にすべてを取り戻すのに十分です。
(Engineer Crew) Have your engineer transfer Auto-ship data.	（エンジニアクルー）エンジニアに自動船データを転送してもらいます。
Scrap the ship as Ivar finishes his meeting.	Ivarが会議を終えると、船を廃棄します。
The Federation captain nods, although clearly still terrified. "Okay... I understand. Good luck against the Flagship, captain. Even if we don't make it - it's all worth it as long as this reality is safe!"	連盟のキャプテンはうなずきますが、明らかに恐ろしかったです。「わかりました...私は理解しています。旗艦、キャプテンに対する幸運。たとえ私たちが作っていなくても、この現実が安全である限り、それはすべて価値があります！」
The hull of the Free Mantis ship rends and buckles as it is torn apart. As you scrap their ship, you reflect that this relatively young faction is not ready for what it takes to be at war.	自由なマンティスの船の船体は、引き裂かれるにつれて引き裂かれ、バックルをします。あなたが彼らの船を廃棄すると、あなたはこの比較的若い派ionが戦争に必要なものの準備ができていないことを反映しています。
If they're going to complain about their imminent defeat, then who are you to deny it to them?	彼らが彼らの差し迫った敗北について不平を言うつもりなら、あなたは彼らにそれを否定するのは誰ですか？
"Sssso, you jusssst drop yoursssself into my lap, do you? How lucky. For me, that issss!"	「sssso、あなたは自分の膝の中に自分のものを落とすのですか？あなたはどれほど幸運ですか。
The facility produces the engines for the Coalition. Your crew introduce the viruses provided by the recon into the respective systems. After doing so, they steal some of the technology to upgrade your own engines.	施設は、連合のためのエンジンを生産しています。乗組員は、それぞれのシステムに偵察によって提供されるウイルスを導入します。そうした後、彼らはあなた自身のエンジンをアップグレードするためにいくつかのテクノロジーを盗みます。
Take a weapon instead.	代わりに武器を取ります。
The ship is now devoid of crew. You doubt that this is what the other Crystals intended you to do, but at least the settlement is now safe.	船には現在、乗組員がいません。これが他の結晶があなたに意図したことであることを疑いますが、少なくとも和解は今では安全です。
Explosive Replicator	爆発的なレプリケーター
A project created by	によって作成されたプロジェクト
As per the Rebel-Harmony non-aggression pact, Wentworth technicians are not allowed in Harmony space.	反政府勢力の非攻撃協定によると、ウェントワースの技術者は調和のために許可されていません。
You're greeted by a visibly withered Orchid. Both of his heritages are identifiable, having notable traits from both the Florals and the Vampweeds. Despite the state of his ship, he hasn't lost his veneer of professionalism. "Salutations. My name is Ty E'Rel." He gestures to the attacking ship. "Any assistance you could offer would be greatly appreciated." However, the moment you contact the Orchids, you attract the attention of the Coalition Predator.	目に見えて枯れた蘭に迎えられます。彼の遺産は両方とも識別可能であり、花とヴァンプウィードの両方から顕著な特性を持っています。彼の船の状態にもかかわらず、彼はプロフェッショナリズムのベニアを失っていません。「敬礼。私の名前はタイレルです。」彼は攻撃船にジェスチャーをします。「あなたが提供できる支援はどんな支援も大歓迎です。」しかし、蘭に接触した瞬間に、連合の捕食者の注目を集めます。
There's a simple way to resolve this dispute. You shut off communications and engage the Engi ship.	この紛争を解決する簡単な方法があります。コミュニケーションを停止し、Engi船に従事します。
The little blob makes itself at home on your ship once you manage to convince it to follow you back. As you prepare to leave, you notify the Vampweeds the situation's been taken care of.	小さな塊は、あなたがそれを説得してあなたを追いかけるように説得すると、あなたの船の上で自宅で自分自身を作ります。去る準備をするとき、あなたはヴァンプウィードに状況が世話されていることを通知します。
"Thanks so much! It's not a ton, but it may be just enough to get us to a store or even out of the sector!"	「どうもありがとう！それはトンではありませんが、私たちを店に連れて行くのに十分かもしれません！」
Vortigon's zealotry breaks through even the psychic beast's powers. The beast can neither subvert Vortigon's will nor meaningfully hurt him. It manages to escape his grasp, and does its best to keep away from him. Though the battle is arduous, the Slugs are able to take cover behind Vortigon's mighty girth.	ヴォルティゴンの熱狂は、サイキックビーストの力でさえ壊れます。獣は、ヴォルティゴンの意志を破壊することも、彼を有意義に傷つけることもできません。それは彼の把握から逃れることができ、彼を遠ざけるために最善を尽くします。戦いは困難ですが、ナメクジはヴォルティゴンの強大な胴回りの後ろに隠れることができます。
Rock comms station targeted by Lost Suns.	Lost Sunsが対象とするRock Commsステーション。
A Zoltan asked you to deliver a gift to a Gathering settlement.	ゾルタンは、集まりの集落に贈り物を届けるように頼みました。
L-8133	L-8133
Examine the nebula.	星雲を調べます。
The Revolutionary cruiser's weapons withdraw. Like a parasite, the cruiser hovers directly behind the Paladin cruiser, sapping its reactor.	革新的な巡洋艦の武器は撤退します。寄生虫のように、巡洋艦はパラディン巡洋艦のすぐ後ろに浮かび、その原子炉を沈めます。
In the distance, a small planet unpopulated and coated in vegetation shows unusual energy signatures of a still-active vessel. It's a bit odd to find a ship out here, but stranger things have happened.	遠くには、植生で覆われていない小さな惑星は、まだ活動的な容器の異常なエネルギー署名を示しています。ここで船を見つけるのは少し奇妙ですが、見知らぬことが起こりました。
You fire upon his shuttle. It is ripped it apart just after it clears the atmosphere, leaving the wreck in high orbit. On the plus side, the Coalition troops will technically believe the defecting Rock to be dead. Unfortunately for him, they will be correct. Either way, his shuttle has a modicum of scrap for you to harvest.	あなたは彼のシャトルに発射します。大気をきれいにし、難破船を高い軌道に残した直後に引き裂かれます。プラス面として、連合軍は技術的に亡命岩が死んでいると信じています。彼にとって残念なことに、彼らは正しいでしょう。いずれにせよ、彼のシャトルには、あなたが収穫するためのわずかなスクラップがあります。
Goul	ゴール
We're called Multiversal Renegades.	私たちは多様な反逆者と呼ばれています。
Let Ivar use your communications.	Ivarに通信を使用させてください。
While searching for the monks, you find distressing amounts of sap and green blood on the face of some boulders. A little bit further leads you to the scene of several corpses and a Vampweed holding a blaster. "They think they can bring GREENLEAVES into our god damn sectors? Ivar has lost his MIND! The Confederacy is only as strong as it is clean from the taint of those communard zealots!"	僧ksを探している間、いくつかの岩の顔に悲惨な量の樹液と緑の血が見つかります。もう少し、いくつかの死体とブラスターを保持しているヴァンプウィードのシーンにあなたを導きます。「彼らは私たちの神のセクターにグリーンリーブをもたらすことができると考えていますか？イヴァーは心を失いました！南軍はそれらのコミューンの熱狂者の汚れからきれいであるのと同じくらい強いです！」
Although there is a smuggler, they are alone, and likely only in the area for a short time.	密輸業者はいますが、彼らは一人であり、おそらくその地域でのみ短時間です。
A slightly worn down Union ship waits here. "Howdy, Renegade. We frontiersmen have been looking to settle on a quiet world far away from the war. We don't got a sophisticated sensor system like your fancy cruisers do, and our weapons aren't much to look at. We were hoping to settle a world 'round these parts... but as we got closer we thought we might have seen signs o' one of them pirates. D'ya reckon you could go check to see if it's safe?"	ここでわずかにすり減ったユニオン船が待っています。「ハウディ、反逆。私たちフロンティアマンは、戦争から遠く離れた静かな世界に落ち着くことを探していました。私たちはあなたの派手な巡洋艦のような洗練されたセンサーシステムを持っていません。これらの部分を回避することを望んでいます...しかし、私たちが近づくにつれて、私たちはそれらの1つの海賊の兆候を見たかもしれないと思っていました。
The Hacker ship explodes. While they can no longer terrorize gullible civilians, you won't be able to take the assets back with their ship destroyed.	ハッカー船が爆発します。彼らはもはやだまされやすい民間人を恐怖に陥れることはできませんが、船を破壊して資産を取り戻すことはできません。
\n\n              JUMP IMMINENT	\n \nジャンプが差し迫っています
"Tom, please. I'm not your enemy."⏎⏎"You think you're so much better than me?"⏎⏎"I never said anything like that."⏎⏎"You know what? I'll PROVE that I'm better. I'll contribute more than you ever thought POSSIBLE!"⏎⏎Tom has joined... whether you like it or not.	「トム、お願いします。私はあなたの敵ではありません。」⏎⏎ "あなたは私よりもはるかに優れていると思いますか？」私はもっと良いです。私はあなたがこれまでに考えていた以上に貢献します！」
(Turzil) Tell the Augmented not to sell to the Harmony ship.	（Turzil）ハーモニー船に販売しないように増強されたことを伝えてください。
(MFK Ace Crew) Pretend to be a Rebel ship.	（MFKエースクルー）反乱軍の船のふりをする。
A Zoltan Automated ship appears to be in charging mode near this sun, probably harvesting the solar energy! However, it appears you arrive just in time for it to re-activate, and the ship somehow identifies you as a threat.	ゾルタンの自動船は、この太陽の近くで充電モードであるように見え、おそらく太陽エネルギーを収穫します！しかし、あなたはそれが再起動するのに間に合うように到着し、船は何らかの形であなたを脅威として識別します。
Obyn blinks, then laughs. He laughs heartily, until he notices your blank stare. "Captain, do you need medical attention?"	オビンは瞬き、それから笑います。彼はあなたの空白の凝視に気付くまで、彼は心から笑います。「キャプテン、医師の診察が必要ですか？」
The solitary other ship makes no moves, providing an opportunity to do something on your ship.	他の孤独な船は動きをしません。船で何かをする機会を提供します。
Norton	ノートン
In a shimmering haze, a drone schematic is printed from the swarm directly into your cargo bay.	きらめくhazeでは、ドローンの回路図が群れから直接貨物室に印刷されます。
Reconsider and opt out.	再考してオプトアウトします。
An outcast ship enters the vicinity. The SSLG ship momentarily breaks off its assault in order to hail the Outcast vessel. They sheepishly hail you back afterwards.	追放された船が近くに入ります。SSLG船は、追放船を歓迎するために、攻撃を一瞬断ち切ります。彼らはその後あなたをひどく呼びかけます。
Your Slug leads a search party looking for the prisoner. Using their telepathic abilities, they're easily able to figure out the prisoner's location. Once your crew approaches them, they recognize you as Federation. Your crew welcomes the rescued prisoner aboard. "I knew it was a long shot, but Renegades have been known to make it this deep into Rebel space in the past. Please let me join your crew."	あなたのナメクジは囚人を探して捜索隊を率いています。彼らのテレパシー能力を使用して、彼らは囚人の場所を簡単に把握することができます。あなたの乗組員が彼らに近づくと、彼らはあなたを連邦として認識します。あなたの乗組員は、救助された囚人を乗せて歓迎します。「私はそれがロングショットであることを知っていましたが、反逆者は過去に反乱軍の奥深くにそれをすることが知られています。あなたの乗組員に加わらせてください。」
They quickly detach from their station to respond to your assault!	彼らはあなたの攻撃に対応するために彼らの駅からすぐに分離します！
The Slug pauses, then continues to wave the watch. "Uh. You are going to give me all of your money, then play the Federation national anthem with your own flatulence!"	ナメクジは一時停止し、時計を振り続けます。「ええと。あなたは私にすべてのお金を与えてから、あなた自身の鼓腸で連邦国歌をプレイするつもりです！」
Movement speed is doubled	移動速度は2倍になります
You may immediately install the [X] augments below, losing the option to sell them or benefit from unconventional stacking. Should you choose to keep them, you may internalize them later on any time you can access the storage.	すぐに[X] Augmentsを以下にインストールして、それらを販売するオプションを失うか、型破りなスタッキングの恩恵を受けることができます。それらを保持することを選択した場合、ストレージにアクセスできるときにいつでもそれらを内面化することができます。
(Anointed) Contact the Beacon Eater.	（油そそがれます）ビーコンイーターに連絡してください。
"Ah well, I guess if we don't need one, we don't need one. Though I must ask... how exactly are you able to tolerate being in command on a ship with no oxygen... aside from what I provide, of course? Ah, you don't have to answer that."	「ああ、私たちはそれを必要としないなら、私たちはそれを必要としないと思います。私は尋ねなければなりません...あなたは酸素のない船での指揮官にどのように耐えることができるのですか...何を除いてもちろん、私は提供しますか？ああ、あなたはそれに答える必要はありません。」
(Repair Drone) Deploy a repair drone.	（修理ドローン）修理ドローンを展開します。
Apologize.	謝る。
Active Ability: Deploys an Anti-Bio bomb that damages all nearby crew in the room, but becomes immobile and hidden temporarily	アクティブな能力：部屋の近くのすべての乗組員を損傷するが、動かないようになり、一時的に隠される反バイオ爆弾を展開します
You're able to find Ivar's exact location within the building as it begins to burn. You have more than enough time to teleport him and all the other people trapped inside out of the building. Ivar looks around, then breathes a sigh of relief once he realizes what happened.	建物が燃え始めたときに、建物内のイバーの正確な場所を見つけることができます。あなたは彼をテレポートするのに十分な時間があり、他のすべての人々が建物から内側に閉じ込められています。アイバーは周りを見回し、何が起こったのか気づいたら、安reliefのため息をつきます。
Leave them and report on your findings.	それらを残して、あなたの発見を報告してください。
(Upg. Cloaking) Use your stealth to access the space station.	（Upg。Cloaking）ステルスを使用して宇宙ステーションにアクセスします。
Ignore the monastery.	修道院を無視してください。
If every Federation ship removed Dynasty vessels with the same level of efficiency as you, it would be no wonder that they hate you all! However, from your experience, it doesn't seem there are many competent captains out there to explain the phenomenon.	すべての連邦船があなたと同じレベルの効率で王朝の船を削除した場合、彼らがあなたを憎むのも不思議ではありません！しかし、あなたの経験から、現象を説明する有能なキャプテンがたくさんいるようには見えません。
"Nine months I have served aboard this vessel for Ambassador L. It is insufferable. Life in the slums of the Commonwealth, as grueling as it were, was more pleasant than this. I am treated like... like a crystalline! A mortal! The Royals have forgotten that we too are Obelisk. I will not stand for this. Tomorrow, I will overthrow the Ambassador. I will leave this place! The Commonwealth will rise, it will prosper! I just know it!"	「私は9か月間、この船に乗ってLのために船を務めました。それは耐え難いです。連邦のスラム街での生活は、これよりも厳しいものでした。！ロイヤルズは私たちもオベリスクであることを忘れていました。私はこれを支持しません。明日、私は大使を転覆させます。私はこの場所を去ります！連邦が上昇します、それは繁栄します！
A Warlord guard is protecting the entrance, likely to prevent Zoltan ships from entering. "Scans show Federation? Welcome, but hope you don't mind, must search ship for Zoltan."	ゾルタンの船が入るのを防ぐ可能性が高い、武将の警備員が入り口を保護しています。「スキャンはフェデレーションを示しますか？歓迎ですが、気にしないでください。ゾルタンを検索しなければなりません。」
Shield Charge Booster	シールドチャージブースター
Agree to drop him off in Federation territory instead.	代わりにフェデレーション準州で彼を降ろすことに同意します。
Receive the Blessing of Tasks from Wakeson.	ウェイクソンからタスクの祝福を受け取ります。
"Do you reckon there's more of me out there? As in, my species."	「私の種のように、あなたはそこにもっと私がもっといると思いますか？」
(Anti-Virus) Activate the Anti-Virus and disable the enemy's hacking.	（ウイルス剤）ウイルス対策を活性化し、敵のハッキングを無効にします。
"I'm afraid I... am not authorized to accept any pleasss for mercy from you. Pleassse, ssstranger, do not make this any... harder for me than it already issss." You rush to your battle stations but find your systems are still limited. Like this you'll hardly stand much of a chance!	「私は...あなたからの慈悲の嘆願を受け入れることを許可されていない。あなたはあなたの戦闘ステーションに急いでいますが、あなたのシステムはまだ限られていることがわかります。このように、あなたはほとんどチャンスに耐えられません！
You've tracked down the strange ship - but your destination isn't quite what you expected. In the middle of an ion storm, you find a rogue planet submerged entirely in darkness except for a glowing spire and fields of tesla coils drawing power from the storm. A warning appears on your screen; "Warning: you are approaching a restricted zone. Only authorized Coalition personnel may enter."	あなたは奇妙な船を追跡しました - しかし、あなたの目的地はあなたが期待したものではありません。イオンの嵐の真ん中に、輝く尖塔と嵐から力を引き出すテスラコイルの畑を除いて、暗闇に完全に沈んだ不正な惑星が見つかります。画面に警告が表示されます。「警告：あなたは制限されたゾーンに近づいています。認定された連合職員のみが入ることができます。」
(Engineer Crew) Send them an engineer.	（エンジニアクルー）エンジニアを送信します。
Location of a secret Slug construction platform.	秘密のナメクジ建設プラットフォームの場所。
Ty E'Rel is leaning back in his comfy chair, with his roots up on his ottoman. The desk is neatly arranged, all the papers are put in their proper places. As he meets your gaze, he gestures to the chair next to his. The two of you sit, wordlessly relaxing after a long and arduous journey. Resting here, he appears even older than he usually does. Eventually, you get up to leave, but as you open the door, you finally hear him speak. ⏎⏎"You should do it." ⏎⏎He doesn't say anything more.	タイ・エレルは、彼のルーツをオットマンに上げて、彼の快適な椅子に傾いています。机はきちんと配置されており、すべての論文は適切な場所に置かれています。彼があなたの視線に出会うと、彼は彼の隣の椅子に身振りで示す。二人は座って、長くて骨の折れる旅の後、無言でリラックスします。ここで休んで、彼は彼が通常するよりもさらに古いように見えます。最終的に、あなたは立ち上がるために立ち上がりますが、あなたがドアを開けると、彼が話すのが聞こえます。⏎⏎「やるべきだ」彼はそれ以上何も言わない。
"So, you want to move to the Gathering? This is doable. The Gathering would be willing to support an expatriated Knight if you can take a carnivorous pledge and a citizen exam."⏎⏎The Knight nods fervently. "I've been a carnivore for yearssss. I've alwayssss wanted to be a Ctl'Yae."⏎⏎Ty nods. "Got it. You would, of course, be subjected to more scrutiny than an Oro'bache might. If you want to pursue that path, I'm certain it would look good if you would join the guard of the Gardenworlds."⏎⏎The Knight pauses. "If I leave the nebula, there issss no coming back."⏎⏎Ty E'Rel nods. "If you come with us, I will do everything I can for you." Moments later, the Knight appears on your ship.	「だから、あなたは集会に移りたいですか？これは実行可能です。肉食の誓約と市民試験を受けることができれば、集会は駐在する騎士を支援することをいとわないでしょう。」「私は長年にわたって肉食動物でした。私はいつもctl'yaeになりたかったのです。」とうなずきました。「それを手に入れました。もちろん、あなたはOro'bacheよりも多くの精査にさらされます。その道を追求したいなら、Gardenworldsのガードに参加するといいだろうと確信しています。」nightナイトは一時停止します。「星雲を離れると、戻ってくることはありません。」「あなたが私たちと一緒に来たら、私はあなたのために私ができるすべてをします。」しばらくして、騎士があなたの船に現れます。
Currently Installed: Technophobia.⏎[Gain double sabotage speed, double combat damage when in a room with hostile drones, and increased movement speed that scales with the strength of the enemy Shields]	現在インストールされている：Technophobia.⏎[敵対的なドローンがある部屋にいるときの二重妨害速度、二重戦闘ダメージ、敵の盾の強度とともに拡大する移動速度の向上]]
Alkali looks at you in disgust. "Ugh... well at least I know for certain you aren't going to kill me. For thhhe time I am aboard your ship, you shall let me sleep in whatever room doesn't have any spiritual paraphernalia in it. I don't care if it's a broom closet. I request thhhat you transport me back to thhhe Geniocracy when you have a chance. I shall make myself useful in thhhhe meantime. I am no freeloader."	アルカリは嫌悪感を抱いてあなたを見ます。「うーん...少なくとも私はあなたが私を殺すつもりはないことを確信しています。私はあなたの船に乗っている間、あなたは私に霊的な道具を持っていない部屋で私を眠らせます。「それがほうきのクローゼットであるかどうかを気にします。あなたがチャンスがあるときに私をgeniocracyに送り返すように私はあなたが私を私に連れ戻すことを要求します。私は自分自身を有用にします。
Out of breath, the Vampweed captain's petals are a bit singed at the tips. "If the Federation... truly represents peace as it claims... then I hope you will find it in you to spare me... despite my mistakes here today."	息を切らして、ヴァンプウィードの船長の花びらはヒントで少し歌われています。「連盟が主張するように平和を本当に表しているなら...私はあなたが私をspareしまないように見つけてくれることを願っています...今日の私の間違いにもかかわらず。」
"Fasssscinating. Now I am wondering, do you think Sssslocknog is the bessst king for the Kleptocracy? Or do you prefer Nightsss and hisss... more radical way of leading usss?"	「ファススシネント。今、私は疑問に思っています、SssslocknogはKleptocracyのBessst Kingだと思いますか？
Even against the quick-witted beast, the drone does considerable damage. It does its best to protect the hunting party from the creature, but the clever beast manages to kill one of the Slugs before being subdued.	機知に富んだ獣に対してさえ、ドローンはかなりのダメージを与えます。狩猟パーティーを生き物から保護するのが最善ですが、巧妙な獣は鎮圧される前にナメクジの1つを殺すことに成功します。
An Ancient Auto-Ship is protecting a ruin at this beacon.	古代の自動船がこのビーコンで廃inを保護しています。
Mayeb speaks up. "...hello. I am Mayeb, Caretaker of the Gathering. ...It is true that you won't fit in. They will judge you for your past, and for being different. But that does not mean you can't make a life for yourself. If you are not fit for your current position, maybe a life of tending to the plants can be very fulfilling. It is the life I will return to once I am released from my duties. Perhaps we can teach you. Would you like to accompany me?"⏎⏎The Knight's voice is filled with joy. "I will come with you!" Moments later, the Knight appears on your ship.	メイブは声を上げます。「...こんにちは。私はメイブです、集会の世話人です。...あなたが合わないのは事実です。彼らはあなたの過去と違うためにあなたを判断します。あなた自身のために人生を作る。あなたがあなたの現在の立場にふさわしくないなら、多分植物の世話をする人生は非常に充実しているかもしれない。それは私が職務から解放されたら私が戻ってくる人生だ。おそらく私たちは教えることができるあなた。あなたは私に同行したいですか？」と騎士の声は喜びに満ちています。"私はあなたと来ます！"しばらくして、騎士があなたの船に現れます。
We desperately needed the scrap.	私たちは必死にスクラップを必要としていました。
Combined Imperial Reputation [2]	帝国の評判を組み合わせた[2]
Currently Installed: Crystallized Hydrogen.⏎[Suffocation immunity]	現在設置されています：結晶化水素。
Combined Gathering Notoriety [4+] - GUARDS WILL ATTACK ON SIGHT	組み合わせた集まりの悪名[4+]  - 警備員が視界を攻撃します
Obtain the loot from the Federation loot transport.	連邦戦利品輸送から戦利品を取得します。
The drone breaks apart under your weapon fire. Oh well, at least it wasn't a ship filled with actual Federation crew.	ドローンはあなたの武器の火の下でバラバラになります。まあ、少なくともそれは実際のフェデレーションの乗組員で満たされた船ではありませんでした。
The man stops looking haughty and looks annoyed. "Yes, well, we circulate media that the ESTABLISHMENT doesn't want you to know about. We know the patrol routes and when it's usually safe."	男は高慢に見えるのをやめ、イライラしているように見えます。「はい、まあ、私たちは、施設があなたに知らせたくないメディアを配布します。私たちはパトロールルートを知っていますが、それが通常安全であるときです。」
Currently Installed: Geodification.⏎[85% fire resistance, removes suffocation resistance]	現在インストールされている：Geodification.⏎[85％の耐火性、窒息抵抗を除去]
Irwin effortlessly corrals each and every animal into their proper habitats. All the while, he educates the zoo proprietors on animal control and care. They are beyond impressed with his expertise.	アーウィンは、あらゆる動物を適切な生息地に楽に焦点を当てています。その間、彼は動物園の所有者を動物の制御とケアについて教育します。彼らは彼の専門知識に感銘を受けています。
"So it's our word against yours, then? Well, I don't think we're getting anywhere, so I'll let you off. Maybe it was a malfunction or something. The thing didn't always work right anyway."	「それで、それはあなたに対する私たちの言葉です。それなら、私たちはどこにでも行くとは思わないので、私はあなたを手放します。多分それは誤動作か何かだったかもしれません。
Unable to interpret it themselves, the Crystalline beings assume your data will mean something to the Rebels. It should see the pursuing fleet taking a leisurely cruise before they get back on track.	それを自分で解釈することができないため、クリスタルの存在はあなたのデータが反政府勢力にとって何かを意味すると仮定します。追跡艦隊が軌道に乗る前にゆっくりとクルーズをとるのを見るはずです。
You offered to transport the contraband of a smuggler to their client.	密輸業者の密輸品をクライアントに輸送することを申し出ました。
8 Power [VERY UNSTABLE: 32s cooldown, 6 beams, 8 self damage per activation]	8パワー[非常に不安定：32Sクールダウン、6つのビーム、アクティベーションごとに8セルフダメージ]
(Jerry) "Stop! It's me!"	（ジェリー）「やめて！それは私だ！」
[NOTORIETY DECREASED - UNION]⏎You have done a good deed here in the eyes of the Union. If you've gained notoriety from other actions in the past, you're more likely to be forgiven for them.	[悪名が減った - 組合]⏎連合の目にはここで善行をした。過去に他の行動から悪名を獲得した場合、あなたはそれらを許される可能性が高くなります。
Ivar pounds the console. "Oy! What are you doin' over there?"⏎⏎"Is that Premier Ivar?"⏎⏎"You're making a mistake over there! Here I am over in the Confederacy trying to make things a little more joyful, and what do I find on my latest visit to the Gathering? You, making the same mistake we made when you left us! Now turn around, I have some people to give a piece of my mind!"⏎⏎"But... Mr. Vampweed Premier, this ship is incredibly costly to move and maintain! We can't just-"⏎⏎"I will help with whatever extra costs are incurred. Just do what I say!" Cowed, the ships begin to turn around.	Ivarはコンソールを叩きます。「ああ！あそこに何をしているの？」集会への最新の訪問で何を見つけますか？あなたは私たちを去ったときに私たちが犯したのと同じ間違いを犯します！vampweed Premier、この船は移動して維持するのに非常に費用がかかります！私たちはただの費用を支援することはできません。牛がいっぱいになり、船は振り向き始めます。
You feel a sharp pain as Ivar's spear strikes true. You double over in pain onto the floor, blood seeping out from your uniform. "I tried to warn you, captain. Don't worry, I hear the Gathering's prisons have an excellent track record of patching up wounds."	Ivarの槍が真実であると、あなたは鋭い痛みを感じます。あなたはあなたの制服から血を染み出し、床の上に痛みを倍増します。「私はあなたに警告しようとしました、キャプテン。心配しないでください。集会の刑務所には、傷を抑えるという優れた実績があると聞きました。」
The Hive and the Confederacy aided each other back in the days of the Federation-Mantis war. Though that alliance has since fallen apart, the Confederacy has retained some archaic open border laws allowing Mantis hunters into their territory - as long as it's ships like yours they're hunting, and not their own.	ハイブと南軍は、フェデレーションマンティス戦争の時代にお互いを助けました。その同盟はその後バラバラになったが、南軍はいくつかの古風なオープン国境法を保持しており、マンティスハンターが領土に侵入することを可能にした - 彼らが狩りをしている船であり、自分のものではなく、彼らは狩りをしている限り。
Your crewmember talks to the other Orchids and convinces them that travel of this kind is challenging for these people and that they're bound to find more eager monks if they keep looking. The Orchids apologize. The monks appreciate your intervention and give you a small tribute for helping them.	あなたの乗組員は他のランと話し、この種の旅行はこれらの人々にとって挑戦的であり、彼らが見続けているならより熱心な僧ksを見つけることに拘束されることを彼らに納得させます。蘭は謝罪します。修道士はあなたの介入に感謝し、あなたに彼らを助けるための小さな敬意を与えます。
Using your upgraded medical bay, you are able to heal the survivor's wounds and they recover quickly. Grateful to be saved, they offer to join your crew and help however they can.	アップグレードされたメディカルベイを使用すると、生存者の傷を癒すことができ、すぐに回復します。救われてくれて感謝して、彼らはあなたの乗組員に加わり、できる限り助けを申し出ます。
The Militia patrol sends a message. "Not that we aren't grateful for stepping in, but that was a little excessive, wasn't it?"	民兵パトロールはメッセージを送信します。「私たちが介入してくれたことに感謝していないわけではありませんが、それは少し過剰でしたよね？」
You are about to install the Webbing modification.⏎[Effects: Non-spider crew in the same room (friend or foe) lose 50% movement speed]⏎⏎[Warning: After installing this, you will not be able to install any more primary upgrades for Spider crew. You will not be able to deactivate this mod either.]	ウェビングの変更をインストールしようとしています。[効果：同じ部屋の非スパイダークルー（友人または敵）は50％の移動速度を失います]⏎⏎[警告：これをインストールした後、これ以上設置することはできませんクモの乗組員のプライマリアップグレード。このmodも無効にすることはできません。]
You catch chatter on the nearby Mantis ship. "Look that one, not Monk. Must have good things onboard, we will take them." Since there's no other ships around, it's safe to assume they're referring to you!	近くのマンティス船でおしゃべりをします。「モンクではなく、それを見てください。船内に良いものが必要です。私たちはそれらを取ります。」周りに他の船がないので、彼らがあなたに言及していると仮定するのは安全です！
"Oh, did I annoy you that much? Darn... well I can't ask much more, but I thought we were friends, Shellskenbry! Oh, the misery!"	「ああ、私はあなたをそんなに悩ませましたか？ダーン...まあ、私はこれ以上尋ねることはできませんが、私たちは友達だと思った、シェルスケンブリー！ああ、悲惨！」
"H'm? Oh! Haha. My bad. Ssssorry, I forgot that wasss a thing we still pretend we do. You really thought every Ssslug hasss thisss sssspeech impediment? No, of courssse not! We just agreed asss a sssspeciesss at one point that it would be a hilarioussss way to messs with everyone elsssse!"⏎⏎You genuinely can't tell if Sylvan is being serious or not, but before you can inquire further he suddenly vanishes behind a corner.	「うーん、ああ！ハハ。私の悪い。ssssorry、私たちがまだ私たちがしているふりをしていることを忘れていた。あなたは本当にすべてのssslug hasssがsssspeechの障害をするだろうか？それは皆のエルスセと混乱する陽気な方法になると指摘します！」
Proceed to the Geniocracy Coreworlds.	Geniocracy Coreworldsに進みます。
Normal Damage Per Shot: \1 (x15 for crew)	ショットごとの通常のダメージ：\1（乗組員の場合はx15）
Robots are not particularly known for their ability to defuse these situations in a diplomatic manner.	ロボットは、外交的な方法でこれらの状況を和らげる能力で特に知られていません。
(Anaerobic Crew) We have crew capable of surviving in environments devoid of oxygen.	（嫌気性の乗組員）酸素のない環境で生き残ることができる乗組員がいます。
(Long-Ranged Scanners) Recommend them a good spot.	（長距離スキャナー）良い場所をお勧めします。
The Militia escort has been dealt with. You scrap their ship.	民兵の護衛は対処されました。あなたは彼らの船をスクラップします。
"This is our territory, Renegade. Not all of us welcome your pity. Get out of our sector, or we will send you to the fiery pits of the underworld."	「これが私たちの領土である反逆者です。私たち全員があなたの同情を歓迎するわけではありません。私たちのセクターから抜け出すか、私たちはあなたをunder界の激しい穴に送ります。」
Cheer on your Spider	あなたのクモを応援します
(Adv. Weapons) Activate your advanced weapons threateningly.	（Adv。Weapons）高度な武器を脅迫的にアクティブにします。
You receive a hail from the captain of the pleasure barge. "Pleasssse, there are sssso many innocent people on thisss ssship. I will give you everything, jussst do not kill usss!"	あなたは喜びのバージの船長からあられを受け取ります。「Playssse、ssssssssssssssssipには多くの罪のない人々がいます。私はあなたにすべてを与えます、JussstはUSSを殺さない！」
"We'll do what we can, but don't expect a miracle here, Renegade."	「私たちはできることをしますが、ここで奇跡を期待しないでください、反逆者。」
